name,adress,price,type,RE,area_m2,land_area_m2,disposition,city,city_part,price_KC
SLEVA: Prodej bytu 3+kk 89 m²,"Opletalova, Praha - Nové Město",23 900 000 Kč,prodej,bytu,89,,3+kk,Praha,Nové Město,23900000.0
Prodej bytu 5+1 263 m²,"Vězeňská, Praha - Staré Město",Cena na vyžádání,prodej,bytu,263,,5+1,Praha,Staré Město,
"Prodej rodinného domu 135 m², pozemek 982 m²",Smilovice - Újezdec,10 750 000 Kč,prodej,rodinného domu,135,982,,Smilovice,Újezdec,10750000.0
Prodej bytu 3+kk 98 m²,"Kolínská, Praha - Vinohrady",15 900 000 Kč,prodej,bytu,98,,3+kk,Praha,Vinohrady,15900000.0
Prodej bytu 4+kk 164 m²,"Před Skalkami I, Praha - Záběhlice",21 400 000 Kč,prodej,bytu,164,,4+kk,Praha,Záběhlice,21400000.0
Prodej bytu 5+1 191 m²,"Před Skalkami I, Praha - Záběhlice",25 800 000 Kč,prodej,bytu,191,,5+1,Praha,Záběhlice,25800000.0
Pronájem bytu 2+kk 62 m²,"Chodská, Trutnov - Horní Předměstí",15 000 Kč/měsíc,pronájem,bytu,62,,2+kk,Trutnov,Horní Předměstí,15000.0
Prodej bytu 4+kk 89 m²,"Libeňský ostrov, Praha - Karlín",22 389 900 Kč,prodej,bytu,89,,4+kk,Praha,Karlín,22389900.0
"Prodej rodinného domu 181 m², pozemek 704 m²","Příčná, Česká Lípa",6 490 000 Kč,prodej,rodinného domu,181,704,,Česká Lípa,,6490000.0
Prodej bytu 4+kk 128 m²,"Před Skalkami I, Praha - Záběhlice",19 800 000 Kč,prodej,bytu,128,,4+kk,Praha,Záběhlice,19800000.0
Prodej bytu 4+kk 77 m²,Praha - Praha 9,11 524 150 Kč,prodej,bytu,77,,4+kk,Praha,Praha 9,11524150.0
"Prodej rodinného domu 144 m², pozemek 262 m²","Devětsilová, Květnice",17 300 000 Kč,prodej,rodinného domu,144,262,,Květnice,,17300000.0
Prodej bytu 2+kk 72 m²,"Paťanka, Praha - Dejvice",11 900 000 Kč,prodej,bytu,72,,2+kk,Praha,Dejvice,11900000.0
"Prodej vily 262 m², pozemek 628 m²",Praha - Slivenec,29 990 000 Kč,prodej,vily,262,628,,Praha,Slivenec,29990000.0
Prodej bytu 3+1 103 m²,"Družstevní ochoz, Praha - Michle",12 890 000 Kč,prodej,bytu,103,,3+1,Praha,Michle,12890000.0
Prodej bytu 3+kk 125 m²,"Baarova, Praha - Michle",18 850 000 Kč,prodej,bytu,125,,3+kk,Praha,Michle,18850000.0
SLEVA: Prodej bytu 3+kk 77 m²,"Třebohostická, Praha - Strašnice",11 990 000 Kč,prodej,bytu,77,,3+kk,Praha,Strašnice,11990000.0
Prodej bytu 6 pokojů a více 471 m²,"Trnitá, Brno - Trnitá",Cena na vyžádání,prodej,bytu,,,,Brno,Trnitá,
"Prodej rodinného domu 460 m², pozemek 479 m²","Ametystová, Praha - Radotín",31 900 000 Kč,prodej,rodinného domu,460,479,,Praha,Radotín,31900000.0
Prodej bytu 2+kk 82 m²,"Na Pankráci, Praha - Nusle",8 900 000 Kč,prodej,bytu,82,,2+kk,Praha,Nusle,8900000.0
Prodej bytu 2+1 50 m²,"28. října, Ledeč nad Sázavou",1 598 000 Kč,prodej,bytu,50,,2+1,Ledeč nad Sázavou,,1598000.0
"Prodej rodinného domu 750 m², pozemek 1312 m²","U Svépomoci, Plzeň - Jižní Předměstí",23 000 000 Kč,prodej,rodinného domu,750,1312,,Plzeň,Jižní Předměstí,23000000.0
"Prodej rodinného domu 80 m², pozemek 204 m²","Heřmánková, Jesenice - Osnice",10 890 000 Kč,prodej,rodinného domu,80,204,,Jesenice,Osnice,10890000.0
Prodej bytu 4+kk 138 m²,"Přemyslovská, Doksy - Staré Splavy",10 490 000 Kč,prodej,bytu,138,,4+kk,Doksy,Staré Splavy,10490000.0
Prodej bytu 1+kk 44 m²,"8. května, Olomouc",6 504 960 Kč,prodej,bytu,44,,1+kk,Olomouc,,6504960.0
Prodej bytu 3+1 84 m²,"17. listopadu, Dobřany",3 999 000 Kč,prodej,bytu,84,,3+1,Dobřany,,3999000.0
Prodej bytu 5+kk 159 m²,"Přemyslovská, Doksy - Staré Splavy",11 900 000 Kč,prodej,bytu,159,,5+kk,Doksy,Staré Splavy,11900000.0
Prodej bytu 2+1 82 m²,"Přemyslovská, Doksy - Staré Splavy",6 900 000 Kč,prodej,bytu,82,,2+1,Doksy,Staré Splavy,6900000.0
Prodej bytu 3+kk 71 m²,"Tetínská, Praha - Radlice",9 900 000 Kč,prodej,bytu,71,,3+kk,Praha,Radlice,9900000.0
Pronájem bytu 2+kk 55 m²,"Dobrovského, Litoměřice - Předměstí",13 500 Kč/měsíc,pronájem,bytu,55,,2+kk,Litoměřice,Předměstí,13500.0
"Prodej rodinného domu 150 m², pozemek 2153 m²",Poběžovice - Sedlec,4 990 000 Kč,prodej,rodinného domu,150,2153,,Poběžovice,Sedlec,4990000.0
"Prodej vily 540 m², pozemek 914 m²",Horní Poříčí,26 600 000 Kč,prodej,vily,540,914,,Horní Poříčí,,26600000.0
Prodej bytu 2+1 74 m²,"Bílkova, Praha - Staré Město",20 900 000 Kč,prodej,bytu,74,,2+1,Praha,Staré Město,20900000.0
"Prodej rodinného domu 1000 m², pozemek 1734 m²",Tavíkovice,5 890 000 Kč,prodej,rodinného domu,1000,1734,,Tavíkovice,,5890000.0
Prodej bytu 3+1 108 m²,"Hyacintová, Praha - Záběhlice",14 500 000 Kč,prodej,bytu,108,,3+1,Praha,Záběhlice,14500000.0
Pronájem bytu 2+kk 60 m²,"Kežmarská, Lanškroun - Ostrovské Předměstí",7 755 Kč/měsíc,pronájem,bytu,60,,2+kk,Lanškroun,Ostrovské Předměstí,7755.0
"Prodej rodinného domu 350 m², pozemek 3559 m²","Cvikovská, Jablonné v Podještědí",25 000 000 Kč,prodej,rodinného domu,350,3559,,Jablonné v Podještědí,,25000000.0
"Pronájem chaty 30 m², pozemek 500 m²","Kostelní zmola, Brno - Královo Pole",13 000 Kč/měsíc,pronájem,chaty,30,500,,Brno,Královo Pole,13000.0
"Prodej rodinného domu 103 m², pozemek 271 m²","Rokycanova, Libochovice",6 500 000 Kč,prodej,rodinného domu,103,271,,Libochovice,,6500000.0
Prodej bytu 3+kk 100 m²,"Hornoměcholupská, Praha - Horní Měcholupy",12 490 000 Kč,prodej,bytu,100,,3+kk,Praha,Horní Měcholupy,12490000.0
Pronájem bytu 1+kk 30 m²,"Kostelní zmola, Brno - Královo Pole",13 000 Kč/měsíc,pronájem,bytu,30,,1+kk,Brno,Královo Pole,13000.0
Prodej bytu 2+kk 76 m²,"Slavíkova, Praha - Vinohrady",12 500 000 Kč,prodej,bytu,76,,2+kk,Praha,Vinohrady,12500000.0
Pronájem bytu 2+1 50 m²,"B. Němcové, Kuřim",16 000 Kč/měsíc,pronájem,bytu,50,,2+1,Kuřim,,16000.0
"Pronájem rodinného domu 50 m², pozemek 200 m²","B. Němcové, Kuřim",16 000 Kč/měsíc,pronájem,rodinného domu,50,200,,Kuřim,,16000.0
Prodej bytu 5+kk 181 m²,"Třinecká, Praha - Letňany",19 000 000 Kč,prodej,bytu,181,,5+kk,Praha,Letňany,19000000.0
Prodej bytu 5+kk 302 m²,"Pod Havránkou, Praha - Troja",70 000 000 Kč,prodej,bytu,302,,5+kk,Praha,Troja,70000000.0
